public_id,name,name_en,type,country,region,focus,instruments,role,fb_url,ig_url,youtube_url,x_url,threads_url,tiktok_url,website_url,opentix_query,keywords
60,藤井俊充,Toshi Fujii,個人,日本,日本/臺灣爵士圈,伯克利音樂學院爵士鼓與貝斯主修/作曲編曲/絲竹空樂團與Afternoon Tree/《海角七號》《大佛普拉斯》口琴錄音/2017爵士口琴專輯《Blue Bear》金音獎三項入圍/2025臺灣口琴音樂節,爵士口琴/十孔口琴/電貝斯/爵士鼓,國際演出人員/作曲與編曲者/多樂器演奏家/製作人,https://www.facebook.com/100091746706247/,https://www.instagram.com/toshimiller/,https://www.youtube.com/channel/UCZVWAgM6XSEbPi_x5H1ZoHw,,,,https://www.sizhukong.com/en/%E8%97%A4%E4%BA%95%E4%BF%8A%E5%85%85-toshi-fujii,,藤井俊充 Toshi Fujii harmonica Sizhukong Afternoon Tree Blue Bear Golden Indie Music Awards Cape No. 7 Great Buddha Plus THMF 2025
61,TOMBO ハーモニカ・ソサイエティ,TOMBO Harmonica Society Directory,資訊入口,日本,日本,大學ハーモニカ・ソサイエティ名單/學生社團版圖,口琴合奏/ハモソ,國際資訊來源,,,,,,,https://www.tombo-m.co.jp/hmc/genre/harmso.html,,TOMBO ハーモニカ ソサイエティ 大學 ハモソ 學生社團 日本 口琴
62,全日本ハーモニカ連盟 AJHF,All Japan Harmonica Federation,協會/資訊入口,日本,日本/全國,日本全國口琴組織聯絡平台/串連北海道、東北、關東、中部、關西、中國、四國與九州地區聯盟/協辦各地口琴活動與音樂會/表揚ハーモニカ賞及推動口琴普及發展,複音口琴/半音階口琴/十孔口琴/口琴重奏與合奏,日本全國口琴協會/區域聯盟協調與活動資訊來源,https://www.facebook.com/AllJapanHarmonicaFederation/,,,,,,https://japanharmonica.wixsite.com/ajhf,,全日本ハーモニカ連盟 AJHF All Japan Harmonica Federation 北海道 東北 関東 中部 関西 中国 四国 九州 ハーモニカ賞 活動 音樂會 普及
63,F.I.H. JAPAN ハーモニカコンテスト,F.I.H. JAPAN Harmonica Contest,比賽/資訊入口,日本,日本,日本口琴比賽/半音階/複音/duo trio,半音階/複音/重奏,國際比賽來源,https://www.facebook.com/moridaira,https://www.instagram.com/moridaira_mi/,https://www.youtube.com/user/Moridaira01,https://x.com/moridaira_mi,,,https://moridaira.jp/event/20260530-01/,,F.I.H. JAPAN ハーモニカコンテスト Moridaira 半音階 複音 duo trio 口琴比賽
64,日本ハーモニカ芸術協会 JHAA,Japan Harmonica Art Association,協會/資訊入口,日本,日本,複音口琴/日本式奏法/研修/比賽,複音口琴,國際協會/資訊來源,,,,,,,https://jhaa.info/about.html,,日本ハーモニカ芸術協会 JHAA 複音口琴 日本式奏法 口琴協會
65,Jong-seong Park 朴鍾聲,Jong-seong Park,個人,韓國,韓國/首爾,半音階與複音獨奏/2002 APHF金牌/2008 APHF三冠/WHF複音冠軍與爵士半音階亞軍/古典管弦樂協演/專輯與協奏曲首演,半音階口琴/複音口琴,國際演出人員/HOHNER古典藝人/編曲者與管弦樂企劃主持,https://www.facebook.com/harmonicapark/,https://www.instagram.com/jongseongpark_harmonicist/,https://www.youtube.com/c/jongseongpark,,,,https://www.mnac.co.kr/jongseongpark,,Jong-seong Park 朴鍾聲 harmonica APHF WHF HOHNER classical orchestra Harmonica Memorial
66,Younghoon Cho,Younghoon Cho,個人,韓國,韓國,鋼琴伴奏/朴鍾聲合作,鋼琴,合作音樂家,https://www.facebook.com/hoontobe/,https://www.instagram.com/hoontobe_piano/,https://www.youtube.com/c/hoontobe,,,,https://linktr.ee/hoontobe,,Younghoon Cho Jong-seong Park
67,Marcos Coll,Marcos Coll,個人,西班牙,西班牙/德國/國際,13歲開始演奏口琴/西班牙與歐洲藍調代表人物/Los Reyes del K.O.與Tonky Blues Band/曾與Mick Taylor、Buddy Miles等巡演錄音/融合藍調、拉丁、嘻哈與西班牙音樂/2009與2013世界口琴節演出、工作坊及評審/2025與2026首爾國際口琴節,十孔口琴/藍調口琴/半音階口琴,國際演出人員/錄音藝術家/國際音樂節評審與講師/HOHNER藝術家,https://www.facebook.com/marcoscollharp/,https://www.instagram.com/marcoscollgonzalez/,https://www.youtube.com/@MarcosCollharpandsoul,,,,https://marcoscoll.com/,,Marcos Coll harmonica Spain Galicia Berlin Los Reyes del KO Tonky Blues Band Mick Taylor Buddy Miles HOHNER WHF 2009 2013 SIHF 2025 2026 blues Latin hip hop
68,Gordon Lee 李俊樂,Gordon Lee,個人,香港,香港,半音階/THMC嘉賓/評審/2026 琴韻東坡・簧鳴西南工作坊,半音階,國際演出人員/評審/講師,https://www.facebook.com/gordonleeharmonicist/,https://www.instagram.com/gordonleeharmonica/,https://www.youtube.com/Harmonicagor,,,,https://www.hkco.org/tc/Other-Members/Gordon-Lee.html,,Gordon Lee 李俊樂 harmonica 琴韻東坡 簧鳴西南 2026 工作坊
69,Dror Adler / Adler Trio,Dror Adler / Adler Trio,團體/個人,以色列,以色列,1963年成立的以色列口琴三重奏/Dror Adler創團並演奏和弦口琴/半音階、和弦與低音口琴編制/古典、流行、爵士、民族與世界音樂/與Judy’s合作,和弦口琴/半音階口琴/低音口琴/口琴三重奏,國際演出人員/歷史口琴三重奏/創團成員,https://www.facebook.com/dror.adler.7/,,https://www.youtube.com/@Dror-adler,,,,https://adlertrio.com/,,Dror Adler Adler Trio Israel harmonica chord chromatic bass trio founded 1963 Judy's
70,Fata Morgana 口琴四重奏,Fata Morgana,團體,荷蘭,荷蘭/埃因霍溫/國際,1980年成立的荷蘭口琴四重奏/歐洲、美國與亞洲逾400場演出/五度參與國際口琴節競賽並三度奪團體冠軍/自編曲與自有擴音系統/發行多張專輯/與天狼星口琴樂團合作交流,半音階口琴/和弦口琴/低音口琴/Harmonetta/口琴四重奏,國際演出團體/編曲與錄音團隊/世界口琴節冠軍團體,https://www.facebook.com/fatamorganamusic/,,https://www.youtube.com/@fatamorganamusic,,,,https://fatamorganamusic.nl/over-ons/,,Fata Morgana harmonica quartet Netherlands Eindhoven 1980 400 concerts world champion chromatic chord bass harmonetta WHF Sirius
71,台大藍聲口琴社,NTU Blue Sound Harmonica Club,學校社團,臺灣,臺灣/臺北,大學口琴社/初學教學與社課/獨奏重奏合奏/成果發表/114學年度全國學生音樂比賽大專團體組特優,半音階口琴/複音口琴/口琴重奏與合奏,大學學生社團/演出與人才培育,https://www.facebook.com/ntubluesound/,https://www.instagram.com/ntubluesound/,https://www.youtube.com/@ntubluesound,,,,https://osa.ntu.edu.tw/,,台大藍聲口琴社 NTU Blue Sound Harmonica Club 全國學生音樂比賽 114學年度 大專團體組 特優
72,雲林縣二崙國中藝才班口琴隊,Erlun Junior High School Harmonica Team,學校/青年,臺灣,臺灣/雲林/二崙,國中音樂藝術才能班口琴隊/口琴四重奏與合奏培訓/110學年度全國賽口琴合奏特優/111與112學年度全國賽口琴合奏及四重奏第一名特優/113與114學年度全國賽持續獲特優,半音階口琴/低音口琴/和弦口琴/口琴四重奏與合奏,國中音樂藝術才能班/青少年口琴教育/全國學生音樂比賽特優團隊,https://www.facebook.com/61550868336289/,,,,,,https://eljh.ylc.edu.tw/News_Photo_Content.aspx?n=55064&s=22381,,二崙國中 藝才班 音樂藝術才能班 口琴隊 口琴合奏 四重奏 全國學生音樂比賽 110 111 112 113 114 特優 第一名 蔡明憲 雲林
73,萬興國小口琴隊,Wanxing Elementary School Harmonica Team,學校/青年,臺灣,臺灣/臺北/文山,臺北市文山區國小口琴隊/半音階獨奏、二重奏、三重奏與小合奏培訓/2026臺灣口琴音樂節多項名次與獎項/家長後援會支持,半音階口琴/口琴重奏/口琴合奏,學校團隊/青少年口琴教育,https://www.facebook.com/61574004532712/,,,,,,https://www.doe.gov.taipei/News_Content.aspx?n=B3DDF0458F0FFC11&s=B1F9DACC1D1B2A0D&sms=72544237BBE4C5F6,,臺北 文山 萬興國小口琴隊 Wanxing Elementary School Harmonica Team THMF 2026 半音階 二重奏 三重奏 小合奏
74,OPENTIX 口琴售票搜尋,OPENTIX Harmonica Search,售票平台,臺灣,臺灣,正式售票演出/講座,口琴,售票資訊來源,https://www.facebook.com/OPENTIXNTCH/,,,,,,https://www.opentix.life/search/%E5%8F%A3%E7%90%B4/DEFAULT?type,口琴,OPENTIX 口琴 售票
75,新竹市文化局,Cultural Affairs Bureau of Hsinchu City,場館/文化局,臺灣,臺灣/新竹,場館/文化活動,口琴/藝文,場館資訊來源,https://www.facebook.com/culture.hccg/,,https://www.youtube.com/channel/UC9ts62VuB0WSSVDQW_h3H_g,,,,https://culture.hccg.gov.tw/,,新竹市文化局 口琴
76,新竹縣文化局,Cultural Affairs Bureau of Hsinchu County,場館/文化局,臺灣,臺灣/新竹,場館/文化活動,口琴/藝文,場館資訊來源,https://www.facebook.com/hchcc.gov/,https://www.instagram.com/hsinchucounty_culture/,https://www.youtube.com/channel/UCQRgyE_3lyMvt7eWHRzBtzg,,,,https://www.hchcc.gov.tw/,,新竹縣文化局 口琴
77,國立陽明交通大學藝文中心,NYCU Arts Center,校內場館/藝文中心,臺灣,臺灣/新竹,校內藝文/合作演出,藝文活動,場館資訊來源,https://www.facebook.com/NYCUArtsCenter/,https://www.instagram.com/nycu_artscenter/,https://www.youtube.com/@%E9%99%BD%E6%98%8E%E4%BA%A4%E5%A4%A7%E8%97%9D%E6%96%87%E4%B8%AD%E5%BF%83-k8f,,https://www.threads.net/@nycu_artscenter,,https://arts.nycu.edu.tw/,,陽明交通大學 藝文中心 口琴
78,衛武營國家藝術文化中心,National Kaohsiung Center for the Arts (Weiwuying),場館,臺灣,臺灣/高雄,大型演出場館,藝文活動,場館資訊來源,https://www.facebook.com/weiwuyingcenterforthearts/,https://www.instagram.com/weiwuying_centerforthearts/,https://www.youtube.com/@weiwuyingfilm,,https://www.threads.net/@weiwuying_centerforthearts,,https://www.npac-weiwuying.org/,,衛武營 口琴
79,國家兩廳院,National Theater and Concert Hall,場館,臺灣,臺灣/臺北,大型演出場館,藝文活動,場館資訊來源,https://www.facebook.com/ntch.tw/,https://www.instagram.com/ntch.taipei/,https://www.youtube.com/user/ntcharts,,https://www.threads.net/@ntch.taipei,,https://npac-ntch.org/zh,,國家兩廳院 口琴
80,臺中國家歌劇院,National Taichung Theater,場館,臺灣,臺灣/臺中,大型演出場館,藝文活動,場館資訊來源,https://www.facebook.com/npac.ntt/,https://www.instagram.com/nationaltaichungtheater/,https://www.youtube.com/channel/UCtL1EUKe_x0W6tahEcEPGMQ,,https://www.threads.net/@nationaltaichungtheater,,https://www.npac-ntt.org/index,,臺中國家歌劇院 口琴
81,雙燕樂器,"Musix Co., Ltd.",樂器行/單位,臺灣,臺灣,口琴器材/活動資訊,口琴,器材來源,https://www.facebook.com/MusixKHS/,,https://www.youtube.com/@KHS_musix,,,,https://www.musix.com.tw/,,雙燕樂器 口琴
82,東和樂器,"Tongho Musical Instrument Co., Ltd. / music4fun",樂器行/單位,臺灣,臺灣,口琴器材/活動資訊,口琴,器材來源,https://www.facebook.com/music4fun.com.tw/,https://www.instagram.com/music4fun.com.tw/,https://www.youtube.com/channel/UCj6k37VazQzRldrBRfFDFJw,,,,https://www.music4fun.com.tw/h/Index?key=ssa79,,東和樂器 口琴
83,Golden Bird Harmonica,Golden Bird Harmonica,品牌/單位,臺灣,臺灣/國際,口琴器材/活動資訊/THMF贊助,口琴,器材品牌,,,,,,,https://www.taiwanharmonica.com/,,Golden Bird Harmonica THMF sponsor
84,From Harmonica to Music,From Harmonica to Music,活動/演出企劃,臺灣,臺灣/臺北,半音階口琴沙龍音樂會/新秀介紹,半音階口琴,活動資訊來源,https://www.facebook.com/fromharmonicatomusic/,,,,,,https://www.accupass.com/event/2310160441452046939021,,From Harmonica to Music 口琴 半音階 沙龍音樂會
85,黃石樂器,Yellowstone Music Shop,樂器行/教學工作室,臺灣,臺灣,口琴專賣/教學/講座/課程,口琴,教學/活動/器材來源,https://www.facebook.com/yellowstone.music.shop.tw/,https://www.instagram.com/yellowstone_music_shop/,https://www.youtube.com/@yellowstone_musicshop,,https://www.threads.net/@yellowstone_music_shop,,https://harmonica.tw/,,黃石樂器 Yellowstone Music Shop 口琴 專賣 教學
86,吹出好心琴 + Ou Frog,Ou Frog,教學/影片來源,臺灣,臺灣,口琴教學影片/示範,口琴,教學影片來源,,,https://www.youtube.com/@oufrog,,,,https://ta.twcc.org.tw/front/course_detail.php?id=650d2e81c9d66a097e94c986d49f6ab7,,吹出好心琴 Ou Frog 口琴 教學 YouTube
87,桃園玩口琴,Taoyuan Harmonica Community,地方教學/社大課程,臺灣,臺灣/桃園,口琴課程/地方社群活動,口琴,教學/課程來源,https://www.facebook.com/p/%E6%A1%83%E5%9C%92%E7%8E%A9%E5%8F%A3%E7%90%B4-100057424090624/,,,,,,,,桃園玩口琴 桃園 口琴 課程 社大
88,藍波口琴教室,Bluebo Harmonica,教學工作室,臺灣,臺灣,口琴教學/課程/學習資源,口琴,教學/課程來源,https://www.facebook.com/happyharmonica/,,https://www.youtube.com/@lamberharmonica,,,,https://www.blueboclass.com/,,藍波口琴教室 藍波口琴網 口琴 教學
89,巴巴口琴坊,Baba Harmonica Studio,教學工作室,臺灣,臺灣/臺南,口琴教學/演出/社團經營,口琴,教學/活動來源,https://www.facebook.com/babaharmonica/,https://www.instagram.com/baba_harmonica_studio/,https://www.youtube.com/@yoyo708520,,,,,,巴巴口琴坊 Baba Harmonica Studio 臺南 口琴 教學 演出
90,An Afternoon with Harmonica,An Afternoon with Harmonica,國際交流活動,臺灣,國際/臺灣交流,口琴沙龍/國際交流/臺灣演奏者相關活動,口琴,國際交流活動,https://www.facebook.com/AnAfternoonwithHarmonica/,https://www.instagram.com/anafternoonwithharmonica/,,,,,,,An Afternoon with Harmonica 口琴 臺灣 國際交流
91,臺北黃石口琴樂團,Taipei Yellowstone Harmonica Ensemble,團體,臺灣,臺灣/臺北,成立逾34年/年度公演/偏鄉與弱勢公益推廣/盧鴻麟指導,口琴重奏/口琴合奏,演出團體/公益與地方推廣,https://www.facebook.com/TaipeiYellowstoneHarmonicaEnsemble/,,,,,,,臺北黃石口琴樂團,臺北黃石口琴樂團 Taipei Yellowstone Harmonica Ensemble 盧鴻麟 年度公演 公益 偏鄉
92,狂響逗嘴鼓口琴樂坊,Rhapsody Harmonica & Drum Studio,教學工作室,臺灣,臺灣/高雄,口琴/手鼓教學/工作室/講座,口琴/手鼓,教學/工作坊/活動來源,https://www.facebook.com/HarmonicaDrumRhapsody/,,,,,,https://art-garden.khcc.gov.tw/introduction/team/7677,,狂響逗嘴鼓口琴樂坊 高雄 口琴 手鼓 教學 工作室
93,RedBricks Harmonica,RedBricks Harmonica,國際團體/參考來源,香港,香港/國際,五位英皇書院口琴手組成/和弦、低音與半音階口琴重奏/古典、流行、民謠及電影音樂/2025世界口琴節三重奏冠軍與小組合奏季軍/臺港交流/SIHF 2026,半音階口琴/低音口琴/和弦口琴/口琴重奏,世界冠軍口琴團體/國際演出團體,https://www.facebook.com/redbricksharmonica/,https://www.instagram.com/redbricksharmonica/,https://www.youtube.com/@RedBricksHarmonica,,,,https://www.hkpm.org.hk/sc/event/bank-of-china-hong-kong-presents-hkpm-showtime-a-redbricks-harmonica-journey-by-redbricks,,RedBricks Harmonica 香港口琴五重奏 英皇書院 世界口琴節 WHF 2025 trio champion ensemble SIHF 2026
94,Duo Volce Music Studio 誼聲音樂室,Duo Volce Music Studio,工作室/團體,香港,香港/國際,蔡偉鏗與周曉彤於2014年正式成立的半音階口琴及小提琴二重奏/古典、電影配樂與探戈/第11屆亞太口琴節原創組冠軍/香港青少年藝術節青年藝術家獎/社區藝術推廣與口琴教學,半音階口琴/小提琴/鋼琴合作,國際演出二重奏/口琴教育工作室/亞太口琴節冠軍團體,https://www.facebook.com/DuoVolce/,https://www.instagram.com/DuoVolce/,https://www.youtube.com/c/DuoVolce,https://x.com/duovolce,,,https://www.duovolce.com/,,Duo Volce Music Studio 誼聲音樂室 Harry Choi 蔡偉鏗 Kiann Chow 周曉彤 chromatic harmonica violin 2014 APHF original champion Youth Arts Festival Hong Kong
95,韋笙堡口琴 Weissenberg Harmonicas,Weissenberg Harmonicas,品牌/樂器商,臺灣,臺灣/臺中/后里,源自1979年臺灣凱音樂器團隊/1989年創立WEISSENBERG品牌/臺灣研發與製造專業口琴/半音階、複音、十孔、低音與和弦口琴產品/碳纖維簧片及金屬吹嘴技術/演奏家合作與產品資訊,半音階口琴/複音口琴/十孔口琴/低音口琴/和弦口琴,臺灣口琴與管樂器品牌/器材製造與產品資訊來源,https://www.facebook.com/Weissenberg.Harmonicas/,https://www.instagram.com/weissenbergtw/,https://www.youtube.com/weissenberg1979,,,,https://www.weissenbergwind.com/tw/product_list.php?type=4,口琴,韋笙堡 Weissenberg Harmonicas 口琴 臺灣 Made in Taiwan 1979 1989 后里 半音階 複音 十孔 低音 和弦 碳纖維簧片 金屬吹嘴
96,高雄市口琴協會,Kaohsiung City Harmonica Association,團體/協會,臺灣,臺灣/高雄,兒童口琴樂團/地方推廣/口琴教育,口琴,地方推廣團體,https://www.facebook.com/%E9%AB%98%E9%9B%84%E5%B8%82%E5%8F%A3%E7%90%B4%E5%8D%94%E6%9C%83-425623100793432/,,,,,,https://art-garden.khcc.gov.tw/introduction/team/16121,口琴,高雄市兒童口琴樂團 高雄市口琴協會 劉志明 口琴 高雄
97,進擊的口琴樂團,Attack on Harmonica Ensemble,團體,臺灣,臺灣,重奏/青年團體/演出/THMF 2026小合奏公開組並列亞軍,口琴重奏/小合奏,演出團體,,https://www.instagram.com/attack_on_harmonica_ensemble/,,,https://www.threads.net/@attack_on_harmonica_ensemble,,,口琴,進擊的口琴樂團 Attack on Harmonica THMF 2026 小合奏 公開組 亞軍
98,蔡明憲 DMing Studio,DMing Studio,教學/維修/影片來源,臺灣,臺灣,口琴教學/維修/重奏/硬體/THMF 2026大合奏公開組第六名,半音階/複音/Bass/Chord,教學/維修來源/演出團體,,https://www.instagram.com/dmingstudio/,https://www.youtube.com/@DMingStudio,,,,https://dming.co/,,DMing Studio 大明 口琴 教學 維修 蔡明憲 天狼星 Laelaps THMF 2026 大合奏 第六名
99,范曉怡,Hsiao-Yi Fan,個人,臺灣,臺灣,狂響口琴樂團/教學/地方推廣,低音口琴/口琴,演出人員/教學者,https://www.facebook.com/fanhsiaoyi/,https://www.instagram.com/fanhsiaoyi/,,,https://www.threads.net/@fanhsiaoyi,,,,范曉怡 fanhsiaoyi 口琴 狂響
100,曹小歐,Otis Tsao,個人,臺灣,臺灣,單口喜劇/藍調口琴/演出,十孔/藍調口琴,演出人員,https://www.facebook.com/otis5hundredtsao/,https://www.instagram.com/otistsao/,https://www.youtube.com/channel/UCBDaFdgRnTui_IqtG9E4bmw,,https://www.threads.net/@otistsao,,https://portaly.cc/otistsao,,曹小歐 Otis Tsao 口琴 單口喜劇 藍調口琴
101,何家健 HarmoniKahkean,Ho Kah Kean / HarmoniKahkean,個人/地方推廣,馬來西亞,臺灣/花蓮；馬來西亞,口琴演奏/花蓮地方推廣/Podcast/國際交流,口琴/重奏,演出人員/地方推廣者,https://www.facebook.com/harmonikahkean/,https://www.instagram.com/kahkeanho/,https://www.youtube.com/@hokahkean1999,,,,https://linktr.ee/harmonikahkean,,何家健 HarmoniKahkean Ho Kah Kean 花蓮 口琴 Dadaya
102,口袋琴房 Pocket Harmonic,Pocket Harmonic,教學/影片來源,臺灣,臺灣,口琴知識、發展史與樂器介紹/半音階、十孔與複音口琴演奏技巧/入門與進階視訊課程/器材開箱、保養與比較/編曲及流行曲演奏內容,半音階口琴/十孔口琴/複音口琴,口琴教育影音頻道/線上課程與器材資訊來源,https://www.facebook.com/PocketHarmonic/,https://www.instagram.com/pocketharmonic/,https://www.youtube.com/@PocketHarmonic,,https://www.threads.net/@pocketharmonic,,https://lit.link/en/pocketharmonic,,口袋琴房 Pocket Harmonic 房客聖崴 口琴 教學 開箱 發展史 演奏技巧 視訊課程 器材 保養 編曲
103,陳瑤容 Yora Chen,Yora Chen,個人,臺灣,臺灣,鋼琴合作/編曲創作/口琴合作,鋼琴/編曲/口琴合作,合作音樂家/編曲者,https://www.facebook.com/aike9115,https://www.instagram.com/_yora._/,https://www.youtube.com/@iamxyora,,https://www.threads.net/@_yora._,,https://portaly.cc/YoraChen,,Yora Chen 陳瑤容 陳瑶容 口琴 編曲 鋼琴合作 111 Quintet
104,Timothy Yip 葉進禧,Timothy Yip,個人,香港,香港,半音階/國際比賽/演出/RedBricks,半音階,國際演出人員,https://www.facebook.com/profile.php?id=100085232439912,https://www.instagram.com/timothyyip_harmonica/,https://www.youtube.com/channel/UCVOaFKVaeBAkb5ZGfVF7nWw,,,,https://www.timothyyipharmonica.com/,,Timothy Yip 葉進禧 harmonica chromatic harmonicist RedBricks
105,Stay Drunk 口琴樂團,Stay Drunk Harmonica Ensemble,團體,臺灣,臺灣,大學生新生代團體,口琴重奏,演出團體,,https://www.instagram.com/staydrunk_h.e/,https://www.youtube.com/channel/UCt3IFDFOQpndqM8j5CheSDA,,,,,,Stay Drunk Stay Drunk H.E. Stay Drunk Harmonica Ensemble staydrunk_h.e 口琴樂團 大學生
106,Seoul International Harmonica Festival,Seoul International Harmonica Festival,國際活動/資訊入口,韓國,韓國/首爾,首爾國際口琴節/國際比賽/Gala音樂會/大師班/教育交流/2026 SIHF,複音/半音階/爵士/藍調/二重奏/三重奏/合奏,國際活動來源,,,https://www.youtube.com/@SIHF-uv5mk,,,,https://seoulinternationalharmonicafestival.com/,,Seoul International Harmonica Festival SIHF Korea Harmonica Education Association 2026 harmonica
107,Konstantin Reinfeld,Konstantin Reinfeld,個人,德國,德國,OPUS Klassik得獎/國際獨奏/製作與教育/跨界合作/SIHF 2026,半音階/十孔,國際演出人員/製作人/教育者,https://www.facebook.com/konstantinreinfeldofficial,https://www.instagram.com/konstantin_reinfeld/,https://www.youtube.com/@KonstantinReinfeld,,,,https://www.konstantinreinfeld.com/,,Konstantin Reinfeld harmonica SIHF 2026
108,Rodrigo Eberienos,Rodrigo Eberienos,個人,巴西,巴西,巴西職業口琴演奏/教學/錄音合作/SIHF 2026,口琴,國際演出人員/教學者,https://www.facebook.com/rodrigoeberienos/,https://www.instagram.com/rodrigoeberienos/,https://www.youtube.com/@eberienos,,,,,,Rodrigo Eberienos harmonica SIHF 2026
109,Boris Plotnikov,Boris Plotnikov,個人,俄羅斯,俄羅斯,莫斯科職業口琴演奏/藍調爵士/國際比賽得獎/教學工作坊/SIHF 2026,十孔/半音階,國際演出人員/教學者,https://www.facebook.com/boris.plotnikov.9,https://www.instagram.com/boris_plotnikov/,https://www.youtube.com/@etaborya,,,,https://borisplotnikov.ru/en,,Boris Plotnikov etaborya boris_plotnikov harmonica SIHF 2026
110,Takamoto Mizuno,Takamoto Mizuno,個人,日本,日本,複音口琴/1997 F.I.H.世界冠軍/新音樂文化推廣/TOMBO artist/SIHF 2026,複音口琴,國際演出人員/教育者,,,https://www.youtube.com/@%E9%A2%A8%E3%81%9D%E3%82%88%E3%81%90%E4%B8%98%E3%81%AE%E4%B8%8A%E3%81%AE%E8%A4%87%E9%9F%B3%E3%83%8F%E3%83%BC%E3%83%A2%E3%83%8B%E3%82%AB,,,,https://www.tombo-m.co.jp/tombofes/2025/official_artist/mizuno_takamoto.html,,Takamoto Mizuno 水野隆元 harmonica tremolo TOMBO SIHF 2026
111,Lee Hangyeol 이한결,Lee Hangyeol,個人,韓國,韓國/首爾,首爾藝術大學實用音樂系口琴主修/半音階爵士/Seoul Soloists/2025 WHF爵士半音階季軍/首爾 2026公演,半音階口琴,國際演出人員/教學者,,https://www.instagram.com/gyeoli_94/,,,,,https://www.seoul.go.kr/seoulgallery/eng/program/view.do?key=2509160014&prgmSn=60,,Lee Hangyeol 이한결 gyeoli_94 harmonica Seoul Arts SSHO WHF 2025 jazz chromatic third SIHF 2026
112,Kim Changsik 김창식,Kim Changsik,個人,韓國,韓國,韓國職業口琴演奏/半音階與複音/Weissenberg artist/SIHF 2026,半音階/複音,國際演出人員,,,,,,,https://weissenbergwind.com/artists_show.php?item=4&id=15,,Kim Changsik Kim Chang Sik 김창식 harmonica SIHF 2026
113,Kim Kyunghee 김경희,Kim Kyunghee,個人,韓國,韓國,韓國職業口琴演奏/Giusto harmonica ensemble/KHO/SIHF 2026,口琴,國際演出人員,,,,,,,https://weissenbergwind.com/artists_show.php?item=4&id=16,,Kim Kyunghee Kim Kyung Hee 김경희 harmonica SIHF 2026
114,Choi Suhong 최수홍,Choi Suhong,個人,韓國,韓國,韓國口琴演奏/國際交流/SIHF 2026,口琴,國際演出人員,,,,,,,https://seoulinternationalharmonicafestival.com/2017/08/23/concert-lineup/,,Choi Suhong 최수홍 harmonica SIHF 2026
115,Filip Jers,Filip Jers,個人,瑞典,瑞典,瑞典代表性口琴演奏/作曲/音樂教育/爵士民謠跨界/逾30國演出,半音階/十孔,國際演出人員/作曲者/教育者,https://www.facebook.com/filipjersmusic/,https://www.instagram.com/filipjersharmonica/,https://www.youtube.com/@filipjersmusic,,,,https://www.filipjers.com/,,Filip Jers harmonica SIHF
116,Trio Animato,Trio Animato,團體,波蘭,波蘭/什切青,波蘭口琴三重奏/室內樂/國際音樂節/SIHF 2025,半音階/和弦/低音,國際演出團體,https://www.facebook.com/animato1978,,https://www.youtube.com/user/animato1978,,,,https://animato.info.pl/en/,,Trio Animato Szczecin Poland harmonica trio SIHF 2025 chromatic chord bass
117,和谷泰扶 Yasuo Watani,Yasuo Watani,個人,日本,日本,京都出身/半音階口琴/Hohner Conservatory訓練/教育與演出,半音階,國際演出人員/教育者,,,,,,,https://www.yasuowatani.com/,,Yasuo Watani Watani Yasuo 和谷泰扶 harmonica SIHF
118,Federico Linari,Federico Linari,個人,阿根廷,阿根廷,布宜諾斯艾利斯/爵士十孔口琴/製作與教學/阿根廷根源,十孔/爵士口琴,國際演出人員/教學者/製作人,https://www.facebook.com/Federico.Linari.Armonica/,https://www.instagram.com/fede.linari/,https://www.youtube.com/@FedericoLinari,,,,https://www.hohner.de/en/federico-linari,,Federico Linari harmonica SIHF
119,田中光栄 Koei Tanaka,Koei Tanaka,個人,日本,日本,東京出身/半音階與十孔/爵士藍調/演奏教學與客製維修,半音階/十孔,國際演出人員/教學者/客製維修,,https://www.instagram.com/koei.tanaka/,https://www.youtube.com/@koeitanakaharmonica,,,,https://tanakakoei.com/,,Koei Tanaka Tanaka Koei 田中光栄 koei.tanaka tanakakoei harmonica SIHF
120,中國魔幻之聲口琴重奏團 The Magic Harmonica Ensemble,The Magic Harmonica Ensemble,團體,中國,中國,2012成立/亞太與華夏口琴節得獎/舞台與教學,口琴重奏,國際演出團體,https://www.facebook.com/TheMagicHarmonica/,,,,,,https://seelectronics.com/artists/the-magic-harmonica-ensemble/,,The Magic Harmonica Ensemble 中國魔幻之聲口琴重奏團 魔幻之声口琴乐团 harmonica SIHF
121,Fresco Harmonica Ensemble,Fresco Harmonica Ensemble,團體,馬來西亞,馬來西亞,馬來西亞世界冠軍口琴團/2006成立/國際巡演/教育推廣,口琴重奏,國際演出團體,,https://www.instagram.com/frescoharmonica/,https://www.youtube.com/@FrescoHarmonica,,,,,,Fresco Harmonica Ensemble harmonica Malaysia SIHF
122,Perfect Fourth,Perfect Fourth,團體,香港,香港,香港現代風格口琴四重奏/傳統與現代和聲/舞台演出,口琴重奏,國際演出團體,https://www.facebook.com/perfectfourth.org/,https://www.instagram.com/perfect.fourth/,https://www.youtube.com/@PerfectFourth,,,,https://www.perfectfourth.org/,,Perfect Fourth Harmonica Quartet Hong Kong SIHF
